dep_hour,carrier,carrier_name,carrier_type,root_delays,avg_downstream_legs,avg_downstream_minutes,avg_amplification,total_cascade_minutes,total_cascade_cost_usd
22,AS,Alaska Airlines,Network,3959,0.232,9.26,1.252,185954,18299733
22,B6,JetBlue Airways,Low-cost,5280,0.129,8.51,1.317,335977,33063497
22,DL,Delta Air Lines,Network,18956,0.098,9.73,1.066,1594816,156945843
22,F9,Frontier Airlines,Ultra low-cost,6405,0.147,12.85,1.313,537551,52900394
22,HA,Hawaiian Airlines,Network,265,0.491,26.59,1.373,21333,2099381
22,MQ,Envoy Air,Regional,2995,0.003,0.48,1.001,157966,15545434
22,NK,Spirit Airlines,Ultra low-cost,8651,0.1,6.19,1.176,636777,62665225
22,OH,PSA Airlines,Regional,4248,0.013,2.53,1.046,269072,26479376
22,OO,SkyWest Airlines,Regional,6209,0.02,4.32,1.066,726307,71475872
22,QX,Horizon Air,Regional,356,0.0,0.0,1.0,12229,1203456
22,UA,United Airlines,Network,7927,0.108,6.06,1.211,450607,44344235
22,WN,Southwest Airlines,Low-cost,14319,0.01,0.38,1.024,537162,52862112
22,YV,Mesa Airlines,Regional,616,0.028,5.71,1.008,63924,6290761
22,YX,Republic Airways,Regional,2557,0.018,2.41,1.007,146722,14438912
23,9E,Endeavor Air,Regional,297,0.135,24.62,1.045,38650,3803547
23,AA,American Airlines,Network,4945,0.184,15.43,1.516,474407,46686393
23,AS,Alaska Airlines,Network,2903,0.333,14.14,1.368,150930,14853021
23,B6,JetBlue Airways,Low-cost,2571,0.257,15.97,1.668,206768,20348039
23,DL,Delta Air Lines,Network,11954,0.138,12.22,1.091,1042343,102576975
23,F9,Frontier Airlines,Ultra low-cost,3514,0.263,19.35,1.447,289510,28490679
23,HA,Hawaiian Airlines,Network,200,0.455,27.41,1.358,19990,1967216
23,MQ,Envoy Air,Regional,134,0.007,1.15,1.002,7731,760808
23,NK,Spirit Airlines,Ultra low-cost,2984,0.259,16.13,1.296,234779,23104601
23,OH,PSA Airlines,Regional,398,0.03,3.82,1.091,24181,2379652
23,OO,SkyWest Airlines,Regional,2040,0.019,3.26,1.027,220929,21741623
23,QX,Horizon Air,Regional,311,0.0,0.0,1.0,11754,1156711
23,UA,United Airlines,Network,3747,0.296,12.09,1.408,239681,23587007
